name,stars,score,score_location,score_cleaning,score_service,score_value_money,ranking,price,price_range,opinions,opinions_excellent,opinions_good,opinions_normal,opinions_bad,opinions_awful,num_qa,nearby_restaurants,nearby_attractions,zone,latitude,longitude,has_swimming_pool,has_bar,has_restaurant,has_breakfast,has_gym,has_reception_24h,has_ac,has_strongbox,admits_pets,rooms,suites,sea_views_rooms,non_smoking_rooms,landmarks_views_rooms,city_views_rooms,family_rooms,style,tripadvisor_clasification,language_spanish,language_catalan,language_french,language_english,language_italian,language_bulgarian,language_russian,language_portuguese,prat_distance,timestamp
Pension Ambos Mundos,,2.5,4.5,3.0,3.0,3.5,769.0,,88 € - 91 €,59.0,6.0,14.0,12.0,10.0,17.0,1.0,695.0,306.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / La Rambla / El Congrés i els Indians,41.380211,2.17558,False,False,False,False,False,False,False,False,False,61.0,False,False,False,False,False,False,Céntrico,100 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 18:00:21.559012
G and G,,2.5,4.5,3.5,2.5,3.5,278.0,,79 € - 140 €,38.0,2.0,11.0,9.0,2.0,14.0,3.0,609.0,238.0,"Ciutat Vella / Sant Pere / Sant Pere, Santa Caterina i la Ribera / El Born / La Ribera",41.381989,2.1815,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False,True,Económico,100 de 100,True,False,False,True,False,False,False,False,12,2020-11-02 18:00:26.047530
AinB Gothic-Little Jaume,3.0,3.5,4.5,3.5,3.5,3.5,761.0,,,17.0,4.0,5.0,4.0,2.0,2.0,0.0,844.0,368.0,Ciutat Vella / Barrio Gòtico (Barri Gòtic) / El Congrés i els Indians,41.38308,2.17828,False,False,False,False,False,False,True,False,False,5.0,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 18:00:30.350048
Room 305,,2.5,4.0,2.5,2.5,2.5,279.0,,,31.0,2.0,7.0,5.0,5.0,12.0,1.0,322.0,48.0,El Ensanche (Eixample) / La Dreta de l'Eixample,41.399712,2.17317,False,False,False,False,False,False,False,False,False,10.0,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,14,2020-11-02 18:00:33.939002
Casa David,4.0,2.0,,,,,782.0,,46 € - 71 €,5.0,0.0,1.0,0.0,1.0,3.0,0.0,57.0,18.0,Sarrià,41.40519,2.11791,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,71 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 18:00:37.602661
AinB Picasso-Corders,2.5,3.0,4.5,3.0,3.0,3.0,757.0,93.0,62 € - 146 €,45.0,10.0,7.0,10.0,7.0,11.0,0.0,676.0,303.0,"Ciutat Vella / Sant Pere / Sant Pere, Santa Caterina i la Ribera / El Born / La Ribera",41.385242,2.179451,False,False,False,False,False,False,True,False,False,6.0,False,False,False,False,False,True,,100 de 100,True,True,True,True,True,False,False,True,13,2020-11-02 18:00:41.336313
Les Rambles Guest House,,2.5,2.5,,1.0,1.0,762.0,,,11.0,2.0,0.0,3.0,0.0,6.0,0.0,609.0,189.0,Ciutat Vella / El Raval,41.38353,2.16894,False,False,False,False,False,False,False,False,False,10.0,False,False,False,False,False,False,,100 de 100,True,True,False,True,False,False,False,False,12,2020-11-02 18:00:45.322374
Diagonal Home,,2.5,3.0,2.0,2.5,2.5,784.0,,,57.0,5.0,9.0,9.0,7.0,27.0,0.0,463.0,44.0,Sant Gervasi-Galvany,41.39389,2.14819,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False,True,,100 de 100,True,False,False,True,False,False,False,False,12,2020-11-02 18:00:48.716449
AinB B&B Born-Via Laietana,2.0,2.5,3.5,2.5,2.0,2.0,274.0,,446 € - 1.324 €,42.0,3.0,11.0,7.0,8.0,13.0,0.0,609.0,238.0,"Ciutat Vella / Sant Pere / Sant Pere, Santa Caterina i la Ribera / El Born / La Ribera",41.381989,2.1815,False,False,False,True,False,False,True,False,False,7.0,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,12,2020-11-02 18:00:52.539001
Habitat Apartments Alibei,4.0,1.0,,,,,776.0,,66 € - 278 €,2.0,0.0,0.0,0.0,0.0,2.0,0.0,261.0,70.0,El Ensanche (Eixample) / La Dreta de l'Eixample,41.391991,2.17857,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,100 de 100,False,False,False,False,False,False,False,False,13,2020-11-02 18:00:57.297440
